0.000034	114.340000	0.865000	0.134000	0.000000	[1.2024815599402284e-26, 9.934582161619444e-26, 4.175796266335503e-25, 1.8062401479595022e-23]	[1.9403125497108978e-27, 1.6407529667323537e-26, 7.5140077008822651e-26, 6.6058380336092127e-24]
0.000036	116.640000	0.865000	0.134000	0.000000	[3.50207867543888e-26, 2.8961110925039403e-25, 1.2220377404642783e-24, 5.635309892346451e-23]	[6.0708428073394363e-27, 5.1384789299261109e-26, 2.3611636571014682e-25, 2.1213367626925022e-23]
0.000038	118.940000	0.865000	0.134000	0.000000	[9.707881817242812e-26, 8.036006733031568e-25, 3.404196728100264e-24, 1.6682219447626935e-22]	[1.8033899727877984e-26, 1.5277976515317233e-25, 7.0425773475467456e-25, 6.4544477586239435e-23]
0.000040	121.230000	0.865000	0.134000	0.000000	[2.5851023481572455e-25, 2.142027142941402e-24, 9.109939668389833e-24, 4.728362095499419e-22]	[5.1321546296091859e-26, 4.351535958080266e-25, 2.0118395054124267e-24, 1.877697999780515e-22]
0.000042	123.510000	0.865000	0.134000	0.000000	[6.623780246890827e-25, 5.493990747676292e-24, 2.3458458533099685e-23, 1.285489678030535e-21]	[1.4016552597002493e-25, 1.1894006814121644e-24, 5.5141745594659658e-24, 5.2330615857361518e-22]
0.000045	125.780000	0.865000	0.134000	0.000000	[1.6406713272942117e-24, 1.3621980962538514e-23, 5.839447653910422e-23, 3.3682289180981933e-21]	[3.6912151775303623e-25, 3.1345797716142152e-24, 1.4569865153222526e-23, 1.4040409636082693e-21]
0.000047	128.040000	0.865000	0.134000	0.000000	[3.917616924916649e-24, 3.255950832337711e-23, 1.4012732094181793e-22, 8.48338257160261e-21]	[9.3481257138619757e-25, 7.9439721838609452e-24, 3.7013959545859191e-23, 3.6174691051978762e-21]
0.000050	130.290000	0.865000	0.134000	0.000000	[9.088211674074265e-24, 7.560852066864189e-23, 3.266764503945685e-22, 2.0701605707046946e-20]	[2.2946756845097136e-24, 1.951278257001714e-23, 9.1123744300195888e-23, 9.0220501928366966e-21]
0.000052	132.540000	0.865000	0.134000	0.000000	[2.034810266766326e-23, 1.6945433537906145e-22, 7.3501062698934485e-22, 4.8639706130247667e-20]	[5.425487754060335e-24, 4.6164199753012323e-23, 2.1604484614489897e-22, 2.1649151508175256e-20]
0.000055	134.780000	0.865000	0.134000	0.000000	[4.4414660319921006e-23, 3.702444685476039e-22, 1.6121430782159635e-21, 1.1113665808717202e-19]	[1.2478905596902345e-23, 1.0624180713438768e-22, 4.9819812652350491e-22, 5.0480956390599131e-20]
0.000057	137.010000	0.865000	0.134000	0.000000	[9.452490449880263e-23, 7.887475116518981e-22, 3.447496646682769e-21, 2.4701394241948505e-19]	[2.7927801825525855e-23, 2.3789923137231721e-22, 1.1176704783286245e-21, 1.1442228691952729e-19]
0.000060	139.230000	0.865000	0.134000	0.000000	[1.9506524951999934e-22, 1.6292824502985954e-21, 7.148038346188451e-21, 5.31171932905248e-19]	[6.0486227132082345e-23, 5.1550878341385602e-22, 2.4261683147951492e-21, 2.5076413982041706e-19]
0.000063	141.450000	0.865000	0.134000	0.000000	[3.9427470931354135e-22, 3.2963736806185447e-21, 1.4515433156243218e-20, 1.1166006962822778e-18]	[1.280962310361293e-22, 1.0922626127279103e-21, 5.1491183967586669e-21, 5.3696749298551642e-19]
0.000066	143.660000	0.865000	0.134000	0.000000	[7.78527990833281e-22, 6.515181739235133e-21, 2.879334082027558e-20, 2.288491740623218e-18]	[2.6453881357740685e-22, 2.2567268762756691e-21, 1.0655221490543956e-20, 1.1204145227860555e-18]
0.000069	145.860000	0.865000	0.134000	0.000000	[1.5068173832659884e-21, 1.2621787669373772e-20, 5.597904016361327e-20, 4.588731922499478e-18]	[5.3457318238717525e-22, 4.5623042586391035e-21, 2.1572738409262061e-20, 2.2860051988956636e-18]
0.000072	148.060000	0.865000	0.134000	0.000000	[2.8448523472040158e-21, 2.3851868385398935e-20, 1.0615451777584861e-19, 8.960669007205696e-18]	[1.0522220117505263e-21, 8.9838420906665555e-21, 4.2538890086107756e-20, 4.5405001805963143e-18]
0.000076	150.250000	0.865000	0.134000	0.000000	[5.280632063094226e-21, 4.431422783183235e-20, 1.9789505759181557e-19, 1.717429389236056e-17]	[2.033065411963775e-21, 1.7364959280354615e-20, 8.2331498744856342e-20, 8.8475462897467747e-18]
0.000079	152.430000	0.865000	0.134000	0.000000	[9.644933816316409e-21, 8.101080375755365e-20, 3.629724111290829e-19, 3.233767610231522e-17]	[3.8594985663000276e-21, 3.2977043665878472e-20, 1.5654524222510091e-19, 1.6929618035905713e-17]
0.000083	154.610000	0.865000	0.134000	0.000000	[1.7170576194758072e-20, 1.4434714659605647e-19, 6.488536185377158e-19, 5.92666482297873e-17]	[7.1323839031416809e-21, 6.0962953670905731e-20, 2.8973590577251953e-19, 3.1520893819423529e-17]
0.000086	156.780000	0.865000	0.134000	0.000000	[3.0173238315012385e-20, 2.5387272962813606e-19, 1.1447853038498147e-18, 1.0706208323125327e-16]	[1.2992457369180242e-20, 1.1108743228098961e-19, 5.2854417352700782e-19, 5.7823743838590522e-17]
0.000090	158.950000	0.865000	0.134000	0.000000	[5.2178615837354813e-20, 4.393898789668544e-19, 1.987443378128663e-18, 1.9008660800470864e-16]	[2.3263638541033242e-20, 1.9896956495242213e-19, 9.4767396413489631e-19, 1.0422588012506882e-16]
